Training Accuracy,Accuracy,Training Error,Test Error,Training Precision,Precision,Training Recall,Recall,Training Specificity,Specificity,Training F1-Score,F1-Score,Training ROC-AUC,ROC-AUC,classifier_name,scaler_name,vectorizer_name,feature_selection_method
0.5522959183673469,0.5344387755102041,0.4477040816326531,0.46556122448979587,0.5450913242009132,0.5357917570498916,0.6113956466069143,0.6206030150753769,0.4936467598475222,0.44559585492227977,0.5763427881713941,0.5750873108265425,0.5525212032272182,0.5330994349988284,Perceptron,RobustScaler,TF-IDF,mutual information
0.6989795918367347,0.7117346938775511,0.30102040816326525,0.28826530612244894,0.6296684851028116,0.6467576791808873,0.9606274007682458,0.9522613065326633,0.43932655654383734,0.4637305699481865,0.7607097591888466,0.7703252032520325,0.6999769786560416,0.7079959382404248,Perceptron,QuantileTransformer,TF-IDF,mutual information
0.9998405612244898,0.90625,0.00015943877551016783,0.09375,1.0,0.9051186017478152,0.9996798975672215,0.9108040201005025,1.0,0.9015544041450777,0.9998399231631183,0.9079524107701941,0.9998399487836107,0.9061792121227902,Decision Tree,MinMaxScaler,TF-IDF,mutual information
0.9998405612244898,0.8852040816326531,0.00015943877551016783,0.11479591836734693,1.0,0.8859649122807017,0.9996798975672215,0.8881909547738693,1.0,0.8821243523316062,0.9998399231631183,0.8870765370138016,0.9998399487836107,0.8851576535527378,Decision Tree,StandardScaler,TF-IDF,mutual information
0.9985650510204082,0.8762755102040817,0.0014349489795918435,0.12372448979591832,0.9993587688361655,0.878140703517588,0.9977592829705506,0.878140703517588,0.9993646759847522,0.8743523316062176,0.9985583853916385,0.878140703517588,0.9985619794776514,0.8762465175619029,Decision Tree,RobustScaler,TF-IDF,mutual information
1.0,0.8903061224489796,0.0,0.10969387755102045,1.0,0.8832923832923832,1.0,0.9032663316582915,1.0,0.8769430051813472,1.0,0.893167701863354,1.0,0.8901046684198193,Decision Tree,QuantileTransformer,TF-IDF,mutual information
0.9998405612244898,0.9355867346938775,0.00015943877551016783,0.06441326530612246,1.0,0.965194109772423,0.9996798975672215,0.9057788944723618,1.0,0.966321243523316,0.9998399231631183,0.9345430978613092,0.9998399487836107,0.9360500689978388,Random Forest,MinMaxScaler,TF-IDF,mutual information
0.9998405612244898,0.9177295918367347,0.00015943877551016783,0.08227040816326525,1.0,0.9336801040312094,0.9996798975672215,0.9020100502512562,1.0,0.9339378238341969,0.9998399231631183,0.9175718849840256,0.9998399487836107,0.9179739370427266,Random Forest,StandardScaler,TF-IDF,mutual information
0.998405612244898,0.9164540816326531,0.0015943877551020114,0.08354591836734693,0.9990384615384615,0.9427430093209055,0.9977592829705506,0.8894472361809045,0.9990470139771284,0.944300518134715,0.9983984625240231,0.9153199741435035,0.9984031484738395,0.9168738771578098,Random Forest,RobustScaler,TF-IDF,mutual information
1.0,0.9285714285714286,0.0,0.0714285714285714,1.0,0.9547872340425532,1.0,0.9020100502512562,1.0,0.9559585492227979,1.0,0.9276485788113694,1.0,0.9289842997370271,Random Forest,QuantileTransformer,TF-IDF,mutual information
