Training Accuracy,Accuracy,Training Error,Test Error,Training Precision,Precision,Training Recall,Recall,Training Specificity,Specificity,Training F1-Score,F1-Score,Training ROC-AUC,ROC-AUC,classifier_name,scaler_name,vectorizer_name,feature_selection_method
0.8807397959183674,0.8852040816326531,0.11926020408163263,0.11479591836734693,0.9051841746248295,0.9150943396226415,0.8495518565941101,0.8530150753768844,0.9116899618805591,0.9183937823834197,0.8764861294583883,0.88296488946684,0.8806209092373347,0.8857044288801521,Logistic Regression,MinMaxScaler,CV,chi-squared
0.6251594387755102,0.6339285714285714,0.37484056122448983,0.3660714285714286,0.6299159663865547,0.6434108527131783,0.5998719590268886,0.6256281407035176,0.6502541296060991,0.6424870466321243,0.6145269716346943,0.6343949044585987,0.6250630443164938,0.634057593667821,Logistic Regression,StandardScaler,CV,chi-squared
0.5095663265306123,0.5019132653061225,0.4904336734693877,0.49808673469387754,0.7857142857142857,0.7027027027027027,0.02112676056338028,0.032663316582914576,0.9942820838627701,0.9857512953367875,0.04114713216957606,0.0624249699879952,0.5077044222130752,0.5092073059598511,Logistic Regression,RobustScaler,CV,chi-squared
0.8976403061224489,0.8871173469387755,0.10235969387755106,0.11288265306122447,0.9122923588039867,0.9056356487549148,0.8790012804097311,0.8680904522613065,0.9161372299872935,0.9067357512953368,0.8953374633192044,0.8864656831302117,0.8975692551985123,0.8874131017783218,Logistic Regression,QuantileTransformer,CV,chi-squared
0.6533801020408163,0.6613520408163265,0.3466198979591837,0.3386479591836735,0.5922330097087378,0.6024748646558391,0.9763124199743918,0.9786432160804021,0.33290978398983484,0.33419689119170987,0.7372492144065748,0.7458113930110101,0.6546111019821133,0.6564200536360559,Gaussian Naive Bayes,MinMaxScaler,CV,chi-squared
0.5301339285714286,0.5325255102040817,0.4698660714285714,0.4674744897959183,0.5146741833858398,0.5207373271889401,0.9935979513444302,0.9937185929648241,0.07020330368487929,0.05699481865284974,0.6780993992353905,0.6833693304535637,0.5319006275146547,0.525356705808837,Gaussian Naive Bayes,StandardScaler,CV,chi-squared
0.5014349489795918,0.5165816326530612,0.49856505102040816,0.48341836734693877,0.49971103833558084,0.51484375,0.8303457106274008,0.8278894472361809,0.17503176620076238,0.1955958549222798,0.6239326518340349,0.6348747591522158,0.5026887384140817,0.5117426510792303,Gaussian Naive Bayes,RobustScaler,CV,chi-squared
0.8754783163265306,0.8743622448979592,0.12452168367346939,0.12563775510204078,0.8847290640394089,0.8815286624203822,0.8623559539052497,0.8693467336683417,0.8885006353240152,0.8795336787564767,0.8733992543361971,0.8753953194180899,0.8754282946146325,0.8744402062124093,Gaussian Naive Bayes,QuantileTransformer,CV,chi-squared
0.6214923469387755,0.6441326530612245,0.37850765306122447,0.35586734693877553,0.5711305007587253,0.591820987654321,0.9638284250960307,0.9635678391959799,0.28176620076238884,0.31476683937823835,0.7172463077656027,0.7332695984703633,0.6227973129292097,0.6391673392871091,Perceptron,MinMaxScaler,CV,chi-squared
0.6073022959183674,0.6045918367346939,0.3926977040816326,0.39540816326530615,0.5851584643133213,0.5869565217391305,0.7269526248399488,0.7462311557788944,0.48856416772554,0.4585492227979275,0.6483940042826553,0.6570796460176991,0.6077583962827444,0.6023901892884109,Perceptron,StandardScaler,CV,chi-squared
0.5637755102040817,0.5580357142857143,0.4362244897959183,0.4419642857142857,0.541991341991342,0.5430962343096234,0.8015364916773368,0.8153266331658291,0.3278271918678526,0.2927461139896373,0.6466942148760331,0.6519337016574586,0.5646818417725947,0.5540363735777332,Perceptron,RobustScaler,CV,chi-squared
0.873405612244898,0.8698979591836735,0.126594387755102,0.13010204081632648,0.8454922894424673,0.8490566037735849,0.9126120358514724,0.9045226130653267,0.8344980940279543,0.8341968911917098,0.8777709359605912,0.8759124087591242,0.8735550649397134,0.8693597521285181,Perceptron,QuantileTransformer,CV,chi-squared
0.9998405612244898,0.8954081632653061,0.00015943877551016783,0.10459183673469385,1.0,0.8940149625935162,0.9996798975672215,0.9007537688442211,1.0,0.8898963730569949,0.9998399231631183,0.8973717146433041,0.9998399487836107,0.895325070950608,Decision Tree,MinMaxScaler,CV,chi-squared
0.9880420918367347,0.8883928571428571,0.011957908163265252,0.1116071428571429,0.9993449066491975,0.8955414012738854,0.9766325224071702,0.8831658291457286,0.9993646759847522,0.8937823834196891,0.9878581835842642,0.8893105629348514,0.9879985991959612,0.8884741062827088,Decision Tree,StandardScaler,CV,chi-squared
0.8985969387755102,0.6785714285714286,0.10140306122448983,0.3214285714285714,0.8335120643431635,0.6498973305954825,0.9951984635083226,0.7952261306532663,0.8027318932655655,0.5582901554404145,0.9072074700904581,0.7152542372881356,0.898965178386944,0.6767581430468405,Decision Tree,RobustScaler,CV,chi-squared
0.9773596938775511,0.9088010204081632,0.02264030612244894,0.09119897959183676,0.9940357852882704,0.9245773732119635,0.9603072983354674,0.8932160804020101,0.9942820838627701,0.9248704663212435,0.9768804949527841,0.9086261980830671,0.9772946910991186,0.9090432733616268,Decision Tree,QuantileTransformer,CV,chi-squared
0.9998405612244898,0.9260204081632653,0.00015943877551016783,0.07397959183673475,1.0,0.9632152588555858,0.9996798975672215,0.8881909547738693,1.0,0.9650259067357513,0.9998399231631183,0.9241830065359478,0.9998399487836107,0.9266084307548104,Random Forest,MinMaxScaler,CV,chi-squared
0.9880420918367347,0.9075255102040817,0.011957908163265252,0.09247448979591832,0.997065536354744,0.918918918918919,0.9788732394366197,0.8969849246231156,0.997141041931385,0.9183937823834197,0.9878856404458084,0.9078194532739988,0.9880071406840023,0.9076893535032677,Random Forest,StandardScaler,CV,chi-squared
0.8985969387755102,0.6945153061224489,0.10140306122448983,0.30548469387755106,0.8333333333333334,0.6673706441393875,0.9955185659411011,0.7939698492462312,0.8024142312579415,0.5919689119170984,0.9072345390898483,0.7251864601262191,0.8989663985995213,0.6929693805816648,Random Forest,RobustScaler,CV,chi-squared
0.9773596938775511,0.9253826530612245,0.02264030612244894,0.07461734693877553,0.9901380670611439,0.9484808454425363,0.9641485275288092,0.9020100502512562,0.9904701397712834,0.9494818652849741,0.9769704832954914,0.9246619446233096,0.9773093336500464,0.9257459577681153,Random Forest,QuantileTransformer,CV,chi-squared
