Training Accuracy,Accuracy,Training Error,Test Error,Training Precision,Precision,Training Recall,Recall,Training Specificity,Specificity,Training F1-Score,F1-Score,Training ROC-AUC,ROC-AUC,classifier_name,scaler_name,vectorizer_name
0.8852040816326531,0.8807397959183674,0.11479591836734693,0.11926020408163263,0.9107997265892003,0.9076305220883534,0.8530729833546735,0.8517587939698492,0.9170902160101652,0.9106217616580311,0.88099173553719,0.8788075178224238,0.8850815996824193,0.8811902778139402,Logistic Regression,MinMaxScaler,CV
0.9091198979591837,0.8973214285714286,0.09088010204081631,0.1026785714285714,0.9367305061559508,0.9227696404793608,0.8767605633802817,0.8706030150753769,0.9412325285895807,0.9248704663212435,0.9057539682539684,0.8959276018099547,0.9089965459849313,0.8977367406983102,Logistic Regression,StandardScaler,CV
0.556281887755102,0.5459183673469388,0.443718112244898,0.45408163265306123,0.5710712796998749,0.5679611650485437,0.4385403329065301,0.44095477386934673,0.673125794155019,0.6541450777202072,0.49610718812239724,0.4964639321074965,0.5558330635307746,0.547549925794777,Logistic Regression,RobustScaler,CV
0.9094387755102041,0.8973214285714286,0.09056122448979587,0.1026785714285714,0.9228987425545996,0.9172141918528253,0.8927656850192062,0.8768844221105527,0.9259847522236341,0.9183937823834197,0.9075821672632607,0.8965960179833012,0.9093752186214201,0.8976391022469863,Logistic Regression,QuantileTransformer,CV
0.5522959183673469,0.5465561224489796,0.4477040816326531,0.45344387755102045,0.5270733379026731,0.5289706884798909,0.9846350832266325,0.9748743718592965,0.12325285895806862,0.10492227979274611,0.6866071428571427,0.685815289438798,0.5539439710923506,0.5398983258260214,Gaussian Naive Bayes,MinMaxScaler,CV
0.5503826530612245,0.5471938775510204,0.44961734693877553,0.45280612244897955,0.525974025974026,0.5292517006802722,0.9852752880921894,0.9773869346733668,0.11880559085133419,0.10362694300518134,0.6858288770053476,0.6866725507502206,0.5520404394717617,0.540506938839274,Gaussian Naive Bayes,StandardScaler,CV
0.5066964285714286,0.5095663265306123,0.4933035714285714,0.4904336734693877,0.5032865907099036,0.5118525021949079,0.7352752880921894,0.7324120603015075,0.2798602287166455,0.27979274611398963,0.5975546305931321,0.6025839793281653,0.5075677584044175,0.5061024032077486,Gaussian Naive Bayes,RobustScaler,CV
0.5661670918367347,0.5682397959183674,0.43383290816326525,0.4317602040816326,0.5351965065502183,0.5415212840195395,0.9807938540332907,0.9748743718592965,0.15470139771283353,0.1489637305699482,0.6925076279805628,0.6962763571108121,0.567747625873062,0.5619190512146224,Gaussian Naive Bayes,QuantileTransformer,CV
0.8745216836734694,0.8654336734693877,0.12547831632653061,0.1345663265306123,0.9288073394495413,0.9282576866764275,0.810179257362356,0.7964824120603015,0.9383735705209657,0.9365284974093264,0.86544708497179,0.8573360378634213,0.8742764139416609,0.866505454734814,Perceptron,MinMaxScaler,CV
0.8785076530612245,0.8781887755102041,0.12149234693877553,0.12181122448979587,0.9114982578397213,0.9049531459170014,0.8373879641485276,0.8492462311557789,0.9193138500635324,0.9080310880829016,0.872872872872873,0.8762151652624757,0.87835090710603,0.8786386596193403,Perceptron,StandardScaler,CV
0.5589923469387755,0.5414540816326531,0.44100765306122447,0.4585459183673469,0.5697040498442367,0.5568685376661743,0.46830985915492956,0.47361809045226133,0.6489834815756036,0.6113989637305699,0.5140548137737175,0.5118805159538357,0.5586466703652665,0.5425085270914156,Perceptron,RobustScaler,CV
0.8990752551020408,0.8909438775510204,0.10092474489795922,0.10905612244897955,0.9611255090707146,0.9496402877697842,0.8309859154929577,0.8291457286432161,0.9666454891994918,0.9546632124352331,0.8913304721030043,0.8853118712273642,0.8988157023462248,0.8919044705392245,Perceptron,QuantileTransformer,CV
1.0,0.8960459183673469,0.0,0.10395408163265307,1.0,0.893167701863354,1.0,0.9032663316582915,1.0,0.8886010362694301,1.0,0.8981886321049344,1.0,0.8959336839638609,Decision Tree,MinMaxScaler,CV
1.0,0.8992346938775511,0.0,0.10076530612244894,1.0,0.9017632241813602,1.0,0.8994974874371859,1.0,0.8989637305699482,1.0,0.9006289308176101,1.0,0.899230609003567,Decision Tree,StandardScaler,CV
1.0,0.9024234693877551,0.0,0.09757653061224492,1.0,0.9074778200253485,1.0,0.8994974874371859,1.0,0.905440414507772,1.0,0.9034700315457412,1.0,0.9024689509724789,Decision Tree,RobustScaler,CV
1.0,0.8973214285714286,0.0,0.1026785714285714,1.0,0.8914919852034525,1.0,0.9082914572864321,1.0,0.8860103626943006,1.0,0.8998133167392657,1.0,0.8971509099903664,Decision Tree,QuantileTransformer,CV
1.0,0.9375,0.0,0.0625,1.0,0.9741847826086957,1.0,0.9007537688442211,1.0,0.9753886010362695,1.0,0.9360313315926891,1.0,0.9380711849402452,Random Forest,MinMaxScaler,CV
1.0,0.9323979591836735,0.0,0.06760204081632648,1.0,0.96875,1.0,0.8957286432160804,1.0,0.9702072538860104,1.0,0.9308093994778067,1.0,0.9329679485510454,Random Forest,StandardScaler,CV
1.0,0.9355867346938775,0.0,0.06441326530612246,1.0,0.9689608636977058,1.0,0.9020100502512562,1.0,0.9702072538860104,1.0,0.9342875731945348,1.0,0.9361086520686334,Random Forest,RobustScaler,CV
1.0,0.9343112244897959,0.0,0.06568877551020413,1.0,0.9676113360323887,1.0,0.9007537688442211,1.0,0.9689119170984456,1.0,0.9329863370201692,1.0,0.9348328429713333,Random Forest,QuantileTransformer,CV
