Training Accuracy,Accuracy,Training Error,Test Error,Training Precision,Precision,Training Recall,Recall,Training Specificity,Specificity,Training F1-Score,F1-Score,Training ROC-AUC,ROC-AUC,classifier_name,scaler_name,vectorizer_name,feature_selection_method
0.540656887755102,0.5229591836734694,0.459343112244898,0.4770408163265306,0.5360855360855361,0.5270880361173815,0.5777848911651728,0.5866834170854272,0.5038119440914867,0.4572538860103627,0.5561546757048221,0.5552913198573127,0.5407984176283298,0.5219686515478948,Perceptron,RobustScaler,CV,mutual information
0.6989795918367347,0.7117346938775511,0.30102040816326525,0.28826530612244894,0.6296684851028116,0.6467576791808873,0.9606274007682458,0.9522613065326633,0.43932655654383734,0.4637305699481865,0.7607097591888466,0.7703252032520325,0.6999769786560416,0.7079959382404248,Perceptron,QuantileTransformer,CV,mutual information
0.9998405612244898,0.9094387755102041,0.00015943877551016783,0.09056122448979587,1.0,0.9118387909319899,0.9996798975672215,0.9095477386934674,1.0,0.9093264248704663,0.9998399231631183,0.9106918238993711,0.9998399487836107,0.9094370817819669,Decision Tree,MinMaxScaler,CV,mutual information
0.9998405612244898,0.8845663265306123,0.00015943877551016783,0.11543367346938771,1.0,0.8754578754578755,0.9996798975672215,0.9007537688442211,1.0,0.8678756476683938,0.9998399231631183,0.8879256965944272,0.9998399487836107,0.8843147082563074,Decision Tree,StandardScaler,CV,mutual information
0.9998405612244898,0.8686224489795918,0.00015943877551016783,0.13137755102040816,1.0,0.8791773778920309,0.9996798975672215,0.8592964824120602,1.0,0.8782383419689119,0.9998399231631183,0.8691232528589581,0.9998399487836107,0.868767412190486,Decision Tree,RobustScaler,CV,mutual information
1.0,0.8909438775510204,0.0,0.10905612244897955,1.0,0.8824969400244798,1.0,0.9057788944723618,1.0,0.8756476683937824,1.0,0.8939863608183509,1.0,0.890713281433072,Decision Tree,QuantileTransformer,CV,mutual information
0.9998405612244898,0.9355867346938775,0.00015943877551016783,0.06441326530612246,1.0,0.965194109772423,0.9996798975672215,0.9057788944723618,1.0,0.966321243523316,0.9998399231631183,0.9345430978613092,0.9998399487836107,0.9360500689978388,Random Forest,MinMaxScaler,CV,mutual information
0.9998405612244898,0.9183673469387755,0.00015943877551016783,0.08163265306122447,1.0,0.9383202099737533,0.9996798975672215,0.8982412060301508,1.0,0.939119170984456,0.9998399231631183,0.9178433889602055,0.9998399487836107,0.9186801885073034,Random Forest,StandardScaler,CV,mutual information
0.9998405612244898,0.920280612244898,0.00015943877551016783,0.07971938775510201,1.0,0.9527665317139001,0.9996798975672215,0.8869346733668342,1.0,0.9546632124352331,0.9998399231631183,0.918672739102147,0.9998399487836107,0.9207989429010336,Random Forest,RobustScaler,CV,mutual information
1.0,0.9285714285714286,0.0,0.0714285714285714,1.0,0.9547872340425532,1.0,0.9020100502512562,1.0,0.9559585492227979,1.0,0.9276485788113694,1.0,0.9289842997370271,Random Forest,QuantileTransformer,CV,mutual information
